strategy,frequency,period_utc,return_fraction
positive_90_day_momentum,month,2020-10,0
positive_90_day_momentum,month,2020-11,0
positive_90_day_momentum,month,2020-12,0
positive_90_day_momentum,month,2021-01,0
positive_90_day_momentum,month,2021-02,0
positive_90_day_momentum,month,2021-03,0
positive_90_day_momentum,month,2021-04,0
positive_90_day_momentum,month,2021-05,0
positive_90_day_momentum,month,2021-06,0
positive_90_day_momentum,month,2021-07,0
positive_90_day_momentum,month,2021-08,0
positive_90_day_momentum,month,2021-09,0
positive_90_day_momentum,month,2021-10,0
positive_90_day_momentum,month,2021-11,0
positive_90_day_momentum,month,2021-12,0
positive_90_day_momentum,month,2022-01,0
positive_90_day_momentum,month,2022-02,0
positive_90_day_momentum,month,2022-03,0
positive_90_day_momentum,month,2022-04,0
positive_90_day_momentum,month,2022-05,0
positive_90_day_momentum,month,2022-06,0
positive_90_day_momentum,month,2022-07,0
positive_90_day_momentum,month,2022-08,0
positive_90_day_momentum,month,2022-09,0
positive_90_day_momentum,month,2022-10,0
positive_90_day_momentum,month,2022-11,0
positive_90_day_momentum,month,2022-12,0
positive_90_day_momentum,month,2023-01,0
positive_90_day_momentum,month,2023-02,0
positive_90_day_momentum,month,2023-03,0
positive_90_day_momentum,month,2023-04,0
positive_90_day_momentum,month,2023-05,0
positive_90_day_momentum,month,2023-06,0
positive_90_day_momentum,month,2023-07,0
positive_90_day_momentum,month,2023-08,0
positive_90_day_momentum,month,2023-09,0
positive_90_day_momentum,month,2023-10,0
positive_90_day_momentum,month,2023-11,0
positive_90_day_momentum,month,2023-12,0
positive_90_day_momentum,month,2024-01,0
positive_90_day_momentum,month,2024-02,0
positive_90_day_momentum,month,2024-03,0
positive_90_day_momentum,month,2024-04,0
positive_90_day_momentum,month,2024-05,0
positive_90_day_momentum,month,2024-06,0
positive_90_day_momentum,month,2024-07,0
positive_90_day_momentum,month,2024-08,0
positive_90_day_momentum,month,2024-09,0
positive_90_day_momentum,month,2024-10,0
positive_90_day_momentum,month,2024-11,0
positive_90_day_momentum,month,2024-12,0
positive_90_day_momentum,month,2025-01,0
positive_90_day_momentum,month,2025-02,0
positive_90_day_momentum,month,2025-03,0
positive_90_day_momentum,month,2025-04,0
positive_90_day_momentum,month,2025-05,0
positive_90_day_momentum,month,2025-06,0
positive_90_day_momentum,month,2025-07,0
positive_90_day_momentum,month,2025-08,0
positive_90_day_momentum,month,2025-09,0
positive_90_day_momentum,month,2025-10,0
positive_90_day_momentum,month,2025-11,0
positive_90_day_momentum,month,2025-12,0
combined_momentum_and_sma200_unsized,year,2018,0
combined_momentum_and_sma200_unsized,year,2019,0.627690540628128000000000018
combined_momentum_and_sma200_unsized,year,2020,-0.1213099781708885560221269802
combined_momentum_and_sma200_unsized,year,2021,0
combined_momentum_and_sma200_unsized,year,2022,0
combined_momentum_and_sma200_unsized,year,2023,0
combined_momentum_and_sma200_unsized,year,2024,0
combined_momentum_and_sma200_unsized,year,2025,0
combined_momentum_and_sma200_unsized,month,2018-09,0
combined_momentum_and_sma200_unsized,month,2018-10,0
combined_momentum_and_sma200_unsized,month,2018-11,0
combined_momentum_and_sma200_unsized,month,2018-12,0
combined_momentum_and_sma200_unsized,month,2019-01,0
combined_momentum_and_sma200_unsized,month,2019-02,0
combined_momentum_and_sma200_unsized,month,2019-03,0
combined_momentum_and_sma200_unsized,month,2019-04,0.064048456612512000000000001
combined_momentum_and_sma200_unsized,month,2019-05,0.378721323717427248977833398
combined_momentum_and_sma200_unsized,month,2019-06,0.110544289516627443966854936
combined_momentum_and_sma200_unsized,month,2019-07,0.000060433105189548991490341
combined_momentum_and_sma200_unsized,month,2019-08,-0.0110286240955320853907229318
combined_momentum_and_sma200_unsized,month,2019-09,0.01030019689784241059987807
combined_momentum_and_sma200_unsized,month,2019-10,-0.0001435486574922541742847175
combined_momentum_and_sma200_unsized,month,2019-11,0
combined_momentum_and_sma200_unsized,month,2019-12,0
combined_momentum_and_sma200_unsized,month,2020-01,-0.0003833913968334430012045179
combined_momentum_and_sma200_unsized,month,2020-02,-0.0811067504724333609203735005
combined_momentum_and_sma200_unsized,month,2020-03,-0.0193523874007483473602640841
combined_momentum_and_sma200_unsized,month,2020-04,0
combined_momentum_and_sma200_unsized,month,2020-05,-0.0245069154702560893192809188
combined_momentum_and_sma200_unsized,month,2020-06,0
combined_momentum_and_sma200_unsized,month,2020-07,0
combined_momentum_and_sma200_unsized,month,2020-08,0
combined_momentum_and_sma200_unsized,month,2020-09,0
combined_momentum_and_sma200_unsized,month,2020-10,0
combined_momentum_and_sma200_unsized,month,2020-11,0
combined_momentum_and_sma200_unsized,month,2020-12,0
combined_momentum_and_sma200_unsized,month,2021-01,0
combined_momentum_and_sma200_unsized,month,2021-02,0
combined_momentum_and_sma200_unsized,month,2021-03,0
combined_momentum_and_sma200_unsized,month,2021-04,0
combined_momentum_and_sma200_unsized,month,2021-05,0
combined_momentum_and_sma200_unsized,month,2021-06,0
combined_momentum_and_sma200_unsized,month,2021-07,0
combined_momentum_and_sma200_unsized,month,2021-08,0
combined_momentum_and_sma200_unsized,month,2021-09,0
combined_momentum_and_sma200_unsized,month,2021-10,0
combined_momentum_and_sma200_unsized,month,2021-11,0
combined_momentum_and_sma200_unsized,month,2021-12,0
combined_momentum_and_sma200_unsized,month,2022-01,0
combined_momentum_and_sma200_unsized,month,2022-02,0
combined_momentum_and_sma200_unsized,month,2022-03,0
combined_momentum_and_sma200_unsized,month,2022-04,0
combined_momentum_and_sma200_unsized,month,2022-05,0
combined_momentum_and_sma200_unsized,month,2022-06,0
combined_momentum_and_sma200_unsized,month,2022-07,0
combined_momentum_and_sma200_unsized,month,2022-08,0
combined_momentum_and_sma200_unsized,month,2022-09,0
combined_momentum_and_sma200_unsized,month,2022-10,0
combined_momentum_and_sma200_unsized,month,2022-11,0
combined_momentum_and_sma200_unsized,month,2022-12,0
combined_momentum_and_sma200_unsized,month,2023-01,0
combined_momentum_and_sma200_unsized,month,2023-02,0
combined_momentum_and_sma200_unsized,month,2023-03,0
combined_momentum_and_sma200_unsized,month,2023-04,0
combined_momentum_and_sma200_unsized,month,2023-05,0
combined_momentum_and_sma200_unsized,month,2023-06,0
combined_momentum_and_sma200_unsized,month,2023-07,0
combined_momentum_and_sma200_unsized,month,2023-08,0
combined_momentum_and_sma200_unsized,month,2023-09,0
combined_momentum_and_sma200_unsized,month,2023-10,0
combined_momentum_and_sma200_unsized,month,2023-11,0
combined_momentum_and_sma200_unsized,month,2023-12,0
combined_momentum_and_sma200_unsized,month,2024-01,0
combined_momentum_and_sma200_unsized,month,2024-02,0
combined_momentum_and_sma200_unsized,month,2024-03,0
combined_momentum_and_sma200_unsized,month,2024-04,0
combined_momentum_and_sma200_unsized,month,2024-05,0
combined_momentum_and_sma200_unsized,month,2024-06,0
combined_momentum_and_sma200_unsized,month,2024-07,0
combined_momentum_and_sma200_unsized,month,2024-08,0
combined_momentum_and_sma200_unsized,month,2024-09,0
combined_momentum_and_sma200_unsized,month,2024-10,0
combined_momentum_and_sma200_unsized,month,2024-11,0
combined_momentum_and_sma200_unsized,month,2024-12,0
combined_momentum_and_sma200_unsized,month,2025-01,0
combined_momentum_and_sma200_unsized,month,2025-02,0
